,상품명,가격,이미지 경로,이미지 개수
0,시크릿밴드 롱 루즈 와이드 데님,"45,000원","['./상품이미지/바지/데님팬츠/시크릿밴드 롱 루즈 와이드 데님1.jpg', './상품이미지/바지/데님팬츠/시크릿밴드 롱 루즈 와이드 데님2.jpg', './상품이미지/바지/데님팬츠/시크릿밴드 롱 루즈 와이드 데님3.jpg']",3
1,딥워싱 브러쉬 루즈핏 와이드 스트레이트 데님,"46,800원","['./상품이미지/바지/데님팬츠/딥워싱 브러쉬 루즈핏 와이드 스트레이트 데님1.jpg', './상품이미지/바지/데님팬츠/딥워싱 브러쉬 루즈핏 와이드 스트레이트 데님2.jpg', './상품이미지/바지/데님팬츠/딥워싱 브러쉬 루즈핏 와이드 스트레이트 데님3.jpg']",3
2,NOI024 스트레이트 루즈핏 데님 팬츠,"39,000원",['./상품이미지/바지/데님팬츠/NOI024 스트레이트 루즈핏 데님 팬츠1.jpg'],1
3,BUCKLE WIDE DENIM PANTS BLACK,"55,200원","['./상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS BLACK1.jpg', './상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS BLACK2.jpg', './상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS BLACK3.jpg']",3
4,가을용 커버밴드 이염없는 생지 와이드루즈 데님,"52,200원","['./상품이미지/바지/데님팬츠/가을용 커버밴드 이염없는 생지 와이드루즈 데님1.jpg', './상품이미지/바지/데님팬츠/가을용 커버밴드 이염없는 생지 와이드루즈 데님2.jpg', './상품이미지/바지/데님팬츠/가을용 커버밴드 이염없는 생지 와이드루즈 데님3.jpg']",3
5,커버밴드 와이드 루즈 데미지워싱 데님,"48,600원","['./상품이미지/바지/데님팬츠/커버밴드 와이드 루즈 데미지워싱 데님1.jpg', './상품이미지/바지/데님팬츠/커버밴드 와이드 루즈 데미지워싱 데님2.jpg', './상품이미지/바지/데님팬츠/커버밴드 와이드 루즈 데미지워싱 데님3.jpg']",3
6,커버밴드 보이핏 스트레이트 컷팅 데님,"49,500원","['./상품이미지/바지/데님팬츠/커버밴드 보이핏 스트레이트 컷팅 데님1.jpg', './상품이미지/바지/데님팬츠/커버밴드 보이핏 스트레이트 컷팅 데님2.jpg', './상품이미지/바지/데님팬츠/커버밴드 보이핏 스트레이트 컷팅 데님3.jpg']",3
7,BUCKLE WIDE DENIM PANTS BLUE,"51,750원","['./상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS BLUE1.jpg', './상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS BLUE2.jpg', './상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS BLUE3.jpg']",3
8,W50 와이드 데님 팬츠_그레이,"37,900원",['./상품이미지/바지/데님팬츠/W50 와이드 데님 팬츠_그레이1.jpg'],1
9,우먼즈 와이드 데님 팬츠,"39,900원","['./상품이미지/바지/데님팬츠/우먼즈 와이드 데님 팬츠1.jpg', './상품이미지/바지/데님팬츠/우먼즈 와이드 데님 팬츠2.jpg', './상품이미지/바지/데님팬츠/우먼즈 와이드 데님 팬츠3.jpg']",3
