,상품명,가격,이미지 경로,이미지 개수
0,BASIC HALF PANTS,"35,000원",['./상품이미지/바지/반바지/BASIC HALF PANTS1.jpg'],1
1,SWEAT SHORTS MARCHE EMBLEM_OATMEAL BLACK,"59,000원","['./상품이미지/바지/반바지/SWEAT SHORTS MARCHE EMBLEM_OATMEAL BLACK1.jpg', './상품이미지/바지/반바지/SWEAT SHORTS MARCHE EMBLEM_OATMEAL BLACK2.jpg', './상품이미지/바지/반바지/SWEAT SHORTS MARCHE EMBLEM_OATMEAL BLACK3.jpg']",3
2,트래블러 쇼츠_써머패키지,"35,900원","['./상품이미지/바지/반바지/트래블러 쇼츠_써머패키지1.jpg', './상품이미지/바지/반바지/트래블러 쇼츠_써머패키지2.jpg', './상품이미지/바지/반바지/트래블러 쇼츠_써머패키지3.jpg']",3
3,SWEAT SHORTS MARCHE EMBLEM_NAVY CREAM,"59,000원","['./상품이미지/바지/반바지/SWEAT SHORTS MARCHE EMBLEM_NAVY CREAM1.jpg', './상품이미지/바지/반바지/SWEAT SHORTS MARCHE EMBLEM_NAVY CREAM2.jpg', './상품이미지/바지/반바지/SWEAT SHORTS MARCHE EMBLEM_NAVY CREAM3.jpg']",3
4,Culotte  ASJF221KR32032,"178,000원","['./상품이미지/바지/반바지/Culotte  ASJF221KR320321.jpg', './상품이미지/바지/반바지/Culotte  ASJF221KR320322.jpg', './상품이미지/바지/반바지/Culotte  ASJF221KR320323.jpg']",3
5,로고배색 밴딩숏팬츠,"79,000원","['./상품이미지/바지/반바지/로고배색 밴딩숏팬츠1.jpg', './상품이미지/바지/반바지/로고배색 밴딩숏팬츠2.jpg', './상품이미지/바지/반바지/로고배색 밴딩숏팬츠3.jpg']",3
6,NYLON BEACH SHORT NAVY,"44,100원",['./상품이미지/바지/반바지/NYLON BEACH SHORT NAVY1.jpg'],1
7,NYLON BEACH SHORT RED,"44,100원",['./상품이미지/바지/반바지/NYLON BEACH SHORT RED1.jpg'],1
8,NYLON BEACH SHORT YELLOW,"44,100원",['./상품이미지/바지/반바지/NYLON BEACH SHORT YELLOW1.jpg'],1
9,NYLON BEACH SHORT KHAKI,"44,100원",['./상품이미지/바지/반바지/NYLON BEACH SHORT KHAKI1.jpg'],1
10,NYLON BEACH SHORT GREY,"44,100원",['./상품이미지/바지/반바지/NYLON BEACH SHORT GREY1.jpg'],1
11,Terry Sweat Shorts_Light Gray,"85,500원",['./상품이미지/바지/반바지/Terry Sweat Shorts_Light Gray1.jpg'],1
12,Terry Sweat Shorts_Blue,"85,500원",['./상품이미지/바지/반바지/Terry Sweat Shorts_Blue1.jpg'],1
13,베이직 여성 여자 프렌치테리 반바지 DH9662010,"59,000원",['./상품이미지/바지/반바지/베이직 여성 여자 프렌치테리 반바지 DH96620101.jpg'],1
14,블랑시 바이커 수트 팬츠 젠 블랙,"145,000원",['./상품이미지/바지/반바지/블랑시 바이커 수트 팬츠 젠 블랙1.jpg'],1
