,상품명,가격,이미지 경로,이미지 개수
0,유니섹스 세미 와이드 밴딩 슬랙스,"33,900원","['./상품이미지/바지/슬랙스/유니섹스 세미 와이드 밴딩 슬랙스1.jpg', './상품이미지/바지/슬랙스/유니섹스 세미 와이드 밴딩 슬랙스2.jpg', './상품이미지/바지/슬랙스/유니섹스 세미 와이드 밴딩 슬랙스3.jpg']",3
1,우먼즈 슬림 스트레이트 히든 밴딩 슬랙스,"32,900원","['./상품이미지/바지/슬랙스/우먼즈 슬림 스트레이트 히든 밴딩 슬랙스1.jpg', './상품이미지/바지/슬랙스/우먼즈 슬림 스트레이트 히든 밴딩 슬랙스2.jpg', './상품이미지/바지/슬랙스/우먼즈 슬림 스트레이트 히든 밴딩 슬랙스3.jpg']",3
2,우먼즈 플루이드 슬림 스트레이트 슬랙스,"33,900원","['./상품이미지/바지/슬랙스/우먼즈 플루이드 슬림 스트레이트 슬랙스1.jpg', './상품이미지/바지/슬랙스/우먼즈 플루이드 슬림 스트레이트 슬랙스2.jpg', './상품이미지/바지/슬랙스/우먼즈 플루이드 슬림 스트레이트 슬랙스3.jpg']",3
3,Semi Wide Hidden Banding Slacks,"39,000원",['./상품이미지/바지/슬랙스/Semi Wide Hidden Banding Slacks1.jpg'],1
4,우먼즈 배기 테이퍼드 히든 밴딩 슬랙스,"32,900원","['./상품이미지/바지/슬랙스/우먼즈 배기 테이퍼드 히든 밴딩 슬랙스1.jpg', './상품이미지/바지/슬랙스/우먼즈 배기 테이퍼드 히든 밴딩 슬랙스2.jpg', './상품이미지/바지/슬랙스/우먼즈 배기 테이퍼드 히든 밴딩 슬랙스3.jpg']",3
5,우먼즈 플루이드 세미 부츠 컷 슬랙스,"33,900원","['./상품이미지/바지/슬랙스/우먼즈 플루이드 세미 부츠 컷 슬랙스1.jpg', './상품이미지/바지/슬랙스/우먼즈 플루이드 세미 부츠 컷 슬랙스2.jpg', './상품이미지/바지/슬랙스/우먼즈 플루이드 세미 부츠 컷 슬랙스3.jpg']",3
6,우먼즈 플루이드 와이드 슬랙스,"33,900원","['./상품이미지/바지/슬랙스/우먼즈 플루이드 와이드 슬랙스1.jpg', './상품이미지/바지/슬랙스/우먼즈 플루이드 와이드 슬랙스2.jpg', './상품이미지/바지/슬랙스/우먼즈 플루이드 와이드 슬랙스3.jpg']",3
7,우먼즈 플루이드 와이드 슬랙스 C,"33,900원","['./상품이미지/바지/슬랙스/우먼즈 플루이드 와이드 슬랙스40.jpg', './상품이미지/바지/슬랙스/우먼즈 플루이드 와이드 슬랙스65.jpg', './상품이미지/바지/슬랙스/우먼즈 플루이드 와이드 슬랙스85.jpg']",3
8,슬릿 와이드 밴딩 슬랙스,"23,800원","['./상품이미지/바지/슬랙스/슬릿 와이드 밴딩 슬랙스1.jpg', './상품이미지/바지/슬랙스/슬릿 와이드 밴딩 슬랙스2.jpg', './상품이미지/바지/슬랙스/슬릿 와이드 밴딩 슬랙스3.jpg']",3
9,우먼즈 리얼 와이드 벨티드 슬랙스,"36,900원","['./상품이미지/바지/슬랙스/우먼즈 리얼 와이드 벨티드 슬랙스1.jpg', './상품이미지/바지/슬랙스/우먼즈 리얼 와이드 벨티드 슬랙스2.jpg', './상품이미지/바지/슬랙스/우먼즈 리얼 와이드 벨티드 슬랙스3.jpg']",3
10,유니섹스 스트레이트 크롭 밴딩 슬랙스,"33,900원",['./상품이미지/바지/슬랙스/유니섹스 스트레이트 크롭 밴딩 슬랙스1.jpg'],1
11,미르 슬릿 팬츠,"105,000원",['./상품이미지/바지/슬랙스/미르 슬릿 팬츠1.jpg'],1
12,베른 와이드 밴딩 슬랙스_W,"32,900원",['./상품이미지/바지/슬랙스/베른 와이드 밴딩 슬랙스_W1.jpg'],1
13,2108 세미 와이드 팬츠 _ 다크 그레이,"79,000원","['./상품이미지/바지/슬랙스/2108 세미 와이드 팬츠 _ 다크 그레이1.jpg', './상품이미지/바지/슬랙스/2108 세미 와이드 팬츠 _ 다크 그레이2.jpg', './상품이미지/바지/슬랙스/2108 세미 와이드 팬츠 _ 다크 그레이3.jpg']",3
14,파르마 와이드 팬츠 비터 블랙,"179,000원",['./상품이미지/바지/슬랙스/파르마 와이드 팬츠 비터 블랙1.jpg'],1
15,파르마 와이드 팬츠 딥 그린,"179,000원",['./상품이미지/바지/슬랙스/파르마 와이드 팬츠 딥 그린1.jpg'],1
16,루시 더블 핀턱 팬츠_블랙,"88,000원","['./상품이미지/바지/슬랙스/루시 더블 핀턱 팬츠_블랙1.jpg', './상품이미지/바지/슬랙스/루시 더블 핀턱 팬츠_블랙2.jpg']",2
17,루시 더블 핀턱 팬츠_차콜,"88,000원","['./상품이미지/바지/슬랙스/루시 더블 핀턱 팬츠_차콜1.jpg', './상품이미지/바지/슬랙스/루시 더블 핀턱 팬츠_차콜2.jpg']",2
18,파르마 와이드 팬츠 체크 그레이,"179,000원",['./상품이미지/바지/슬랙스/파르마 와이드 팬츠 체크 그레이1.jpg'],1
19,여성 허리 밴딩 슬랙스 팬츠 블랙 FMBPT711FBK,"49,800원","['./상품이미지/바지/슬랙스/여성 허리 밴딩 슬랙스 팬츠 블랙 FMBPT711FBK1.jpg', './상품이미지/바지/슬랙스/여성 허리 밴딩 슬랙스 팬츠 블랙 FMBPT711FBK2.jpg', './상품이미지/바지/슬랙스/여성 허리 밴딩 슬랙스 팬츠 블랙 FMBPT711FBK3.jpg']",3
20,2108 세미 와이드 팬츠 _ 블랙,"79,000원","['./상품이미지/바지/슬랙스/2108 세미 와이드 팬츠 _ 블랙1.jpg', './상품이미지/바지/슬랙스/2108 세미 와이드 팬츠 _ 블랙2.jpg', './상품이미지/바지/슬랙스/2108 세미 와이드 팬츠 _ 블랙3.jpg']",3
21,여성 EBAND 슬랙스 밴딩 팬츠 베이지 FMBPT713FBE,"49,800원","['./상품이미지/바지/슬랙스/여성 EBAND 슬랙스 밴딩 팬츠 베이지 FMBPT713FBE1.jpg', './상품이미지/바지/슬랙스/여성 EBAND 슬랙스 밴딩 팬츠 베이지 FMBPT713FBE2.jpg', './상품이미지/바지/슬랙스/여성 EBAND 슬랙스 밴딩 팬츠 베이지 FMBPT713FBE3.jpg']",3
22,여성 EBAND 슬랙스 밴딩 팬츠 블랙 FMBPT713FBK,"49,800원","['./상품이미지/바지/슬랙스/여성 EBAND 슬랙스 밴딩 팬츠 블랙 FMBPT713FBK1.jpg', './상품이미지/바지/슬랙스/여성 EBAND 슬랙스 밴딩 팬츠 블랙 FMBPT713FBK2.jpg', './상품이미지/바지/슬랙스/여성 EBAND 슬랙스 밴딩 팬츠 블랙 FMBPT713FBK3.jpg']",3
23,루시 더블 핀턱 팬츠_그레이,"88,000원",['./상품이미지/바지/슬랙스/루시 더블 핀턱 팬츠_그레이1.jpg'],1
24,B테이퍼드 밴딩 슬랙스,"35,100원","['./상품이미지/바지/슬랙스/B테이퍼드 밴딩 슬랙스1.jpg', './상품이미지/바지/슬랙스/B테이퍼드 밴딩 슬랙스2.jpg', './상품이미지/바지/슬랙스/B테이퍼드 밴딩 슬랙스3.jpg']",3
25,우먼즈 와이드 히든 밴딩 슬랙스,"32,900원","['./상품이미지/바지/슬랙스/우먼즈 와이드 히든 밴딩 슬랙스1.jpg', './상품이미지/바지/슬랙스/우먼즈 와이드 히든 밴딩 슬랙스2.jpg', './상품이미지/바지/슬랙스/우먼즈 와이드 히든 밴딩 슬랙스3.jpg']",3
