,상품명,가격,이미지 경로,이미지 개수
0,스트라이프 롱슬리브 블랙,"31,500원","['./상품이미지/상의/긴팔/스트라이프 롱슬리브 블랙1.jpg', './상품이미지/상의/긴팔/스트라이프 롱슬리브 블랙2.jpg', './상품이미지/상의/긴팔/스트라이프 롱슬리브 블랙3.jpg']",3
1,NYC LOCATION LONG SLEEVE TSHIRTS,"39,000원","['./상품이미지/상의/긴팔/NYC LOCATION LONG SLEEVE TSHIRTS1.jpg', './상품이미지/상의/긴팔/NYC LOCATION LONG SLEEVE TSHIRTS2.jpg', './상품이미지/상의/긴팔/NYC LOCATION LONG SLEEVE TSHIRTS3.jpg']",3
2,우먼즈 릴렉스드 크루 넥 긴팔 티셔츠,"15,900원","['./상품이미지/상의/긴팔/우먼즈 릴렉스드 크루 넥 긴팔 티셔츠1.jpg', './상품이미지/상의/긴팔/우먼즈 릴렉스드 크루 넥 긴팔 티셔츠2.jpg', './상품이미지/상의/긴팔/우먼즈 릴렉스드 크루 넥 긴팔 티셔츠3.jpg']",3
3,베이직 레이어드 티셔츠,"29,700원",['./상품이미지/상의/긴팔/베이직 레이어드 티셔츠1.jpg'],1
4,빅 트위치 루즈핏 롱 슬리브 화이트,"39,000원","['./상품이미지/상의/긴팔/빅 트위치 루즈핏 롱 슬리브 화이트1.jpg', './상품이미지/상의/긴팔/빅 트위치 루즈핏 롱 슬리브 화이트2.jpg', './상품이미지/상의/긴팔/빅 트위치 루즈핏 롱 슬리브 화이트3.jpg']",3
5,우먼즈 릴렉스드 크루 넥 긴팔 티셔츠 E,"15,900원","['./상품이미지/상의/긴팔/우먼즈 릴렉스드 크루 넥 긴팔 티셔츠7.jpg', './상품이미지/상의/긴팔/우먼즈 릴렉스드 크루 넥 긴팔 티셔츠92.jpg', './상품이미지/상의/긴팔/우먼즈 릴렉스드 크루 넥 긴팔 티셔츠91.jpg']",3
6,롱슬리브 헤비 오버핏 스크레치 로고R 블랙,"29,400원",['./상품이미지/상의/긴팔/롱슬리브 헤비 오버핏 스크레치 로고R 블랙1.jpg'],1
7,그래픽 베이직 긴팔 티셔츠_WHITE,"32,400원","['./상품이미지/상의/긴팔/그래픽 베이직 긴팔 티셔츠_WHITE1.jpg', './상품이미지/상의/긴팔/그래픽 베이직 긴팔 티셔츠_WHITE2.jpg', './상품이미지/상의/긴팔/그래픽 베이직 긴팔 티셔츠_WHITE3.jpg']",3
8,우먼즈 릴렉스드 크루 넥 긴팔 티셔츠 C,"15,900원","['./상품이미지/상의/긴팔/우먼즈 릴렉스드 크루 넥 긴팔 티셔츠87.jpg', './상품이미지/상의/긴팔/우먼즈 릴렉스드 크루 넥 긴팔 티셔츠65.jpg', './상품이미지/상의/긴팔/우먼즈 릴렉스드 크루 넥 긴팔 티셔츠6.jpg']",3
9,포인트 오버핏 롱티셔츠,"29,800원",['./상품이미지/상의/긴팔/포인트 오버핏 롱티셔츠1.gif'],1
10,빅 트위치 루즈핏 롱 슬리브 블랙,"39,000원","['./상품이미지/상의/긴팔/빅 트위치 루즈핏 롱 슬리브 블랙1.jpg', './상품이미지/상의/긴팔/빅 트위치 루즈핏 롱 슬리브 블랙2.jpg', './상품이미지/상의/긴팔/빅 트위치 루즈핏 롱 슬리브 블랙3.jpg']",3
11,R.D LONG SLEEVE TEE BLACK,"49,000원","['./상품이미지/상의/긴팔/R.D LONG SLEEVE TEE BLACK1.jpg', './상품이미지/상의/긴팔/R.D LONG SLEEVE TEE BLACK20918']",2
12,스트라이프 와펜 로고 롱슬리브 네이비그린,"31,200원",['./상품이미지/상의/긴팔/스트라이프 와펜 로고 롱슬리브 네이비그린1.jpg'],1
13,스트라이프 롱슬리브 블루,"31,500원","['./상품이미지/상의/긴팔/스트라이프 롱슬리브 블루1.jpg', './상품이미지/상의/긴팔/스트라이프 롱슬리브 블루2.jpg', './상품이미지/상의/긴팔/스트라이프 롱슬리브 블루3.jpg']",3
14,DAILY HALF TURTLE NECK TSHIRTS,"35,000원","['./상품이미지/상의/긴팔/DAILY HALF TURTLE NECK TSHIRTS1.jpg', './상품이미지/상의/긴팔/DAILY HALF TURTLE NECK TSHIRTS2.jpg', './상품이미지/상의/긴팔/DAILY HALF TURTLE NECK TSHIRTS3.jpg']",3
15,에센셜 2PACK 롱슬리브,"53,100원","['./상품이미지/상의/긴팔/에센셜 2PACK 롱슬리브1.jpg', './상품이미지/상의/긴팔/에센셜 2PACK 롱슬리브2.jpg', './상품이미지/상의/긴팔/에센셜 2PACK 롱슬리브3.jpg']",3
16,스퀘어넥 긴팔 티셔츠,"23,800원","['./상품이미지/상의/긴팔/스퀘어넥 긴팔 티셔츠1.jpg', './상품이미지/상의/긴팔/스퀘어넥 긴팔 티셔츠2.jpg', './상품이미지/상의/긴팔/스퀘어넥 긴팔 티셔츠3.jpg']",3
17,RLL201  멀티 로고 롱슬리브 화이트,"28,000원","['./상품이미지/상의/긴팔/RLL201  멀티 로고 롱슬리브 화이트1.jpg', './상품이미지/상의/긴팔/RLL201  멀티 로고 롱슬리브 화이트2.jpg']",2
18,포인트 서클 롱티셔츠 5color,"19,800원","['./상품이미지/상의/긴팔/포인트 서클 롱티셔츠 5color1.jpg', './상품이미지/상의/긴팔/포인트 서클 롱티셔츠 5color2.jpg', './상품이미지/상의/긴팔/포인트 서클 롱티셔츠 5color3.jpg']",3
19,TAG KEEP LONGSLEEVE ASH,"49,000원","['./상품이미지/상의/긴팔/TAG KEEP LONGSLEEVE ASH1.jpg', './상품이미지/상의/긴팔/TAG KEEP LONGSLEEVE ASH2.jpg', './상품이미지/상의/긴팔/TAG KEEP LONGSLEEVE ASH3.jpg']",3
20,Slim Turtleneck Top_Black,"14,500원",['./상품이미지/상의/긴팔/Slim Turtleneck Top_Black1.jpg'],1
21,슬림 터틀넥 탑,"23,200원","['./상품이미지/상의/긴팔/슬림 터틀넥 탑1.jpg', './상품이미지/상의/긴팔/슬림 터틀넥 탑2.jpg', './상품이미지/상의/긴팔/슬림 터틀넥 탑3.jpg']",3
22,터틀넥 슬림 탑_아이보리,"14,500원","['./상품이미지/상의/긴팔/터틀넥 슬림 탑_아이보리1.jpg', './상품이미지/상의/긴팔/터틀넥 슬림 탑_아이보리2.jpg', './상품이미지/상의/긴팔/터틀넥 슬림 탑_아이보리3.jpg']",3
23,롱슬리브 헤비 오버핏 스트라이프 단가라 블랙,"31,200원",['./상품이미지/상의/긴팔/롱슬리브 헤비 오버핏 스트라이프 단가라 블랙1.jpg'],1
24,TSHIRT LONG SLEEVE STRIPE_IVORY GREEN,"64,000원","['./상품이미지/상의/긴팔/TSHIRT LONG SLEEVE STRIPE_IVORY GREEN1.jpg', './상품이미지/상의/긴팔/TSHIRT LONG SLEEVE STRIPE_IVORY GREEN2.jpg', './상품이미지/상의/긴팔/TSHIRT LONG SLEEVE STRIPE_IVORY GREEN3.jpg']",3
25,Slim Turtleneck Top_Ivory,"14,500원",['./상품이미지/상의/긴팔/Slim Turtleneck Top_Ivory1.jpg'],1
26,DAILY TURTLE NECK TSHIRTS,"35,000원","['./상품이미지/상의/긴팔/DAILY TURTLE NECK TSHIRTS1.jpg', './상품이미지/상의/긴팔/DAILY TURTLE NECK TSHIRTS2.jpg', './상품이미지/상의/긴팔/DAILY TURTLE NECK TSHIRTS3.jpg']",3
27,머전스 써클로고 하프넥 티셔츠 3color,"19,800원","['./상품이미지/상의/긴팔/머전스 써클로고 하프넥 티셔츠 3color1.jpg', './상품이미지/상의/긴팔/머전스 써클로고 하프넥 티셔츠 3color2.jpg', './상품이미지/상의/긴팔/머전스 써클로고 하프넥 티셔츠 3color3.jpg']",3
28,NYC LOCATION LONG SLEEVE TSHIRTS Q,"34,300원","['./상품이미지/상의/긴팔/NYC LOCATION LONG SLEEVE TSHIRTS100.jpg', './상품이미지/상의/긴팔/NYC LOCATION LONG SLEEVE TSHIRTS9.jpg']",2
29,Ombrer Stripe LS Tee Multi Black,"44,100원","['./상품이미지/상의/긴팔/Ombrer Stripe LS Tee Multi Black1.jpg', './상품이미지/상의/긴팔/Ombrer Stripe LS Tee Multi Black20918']",2
30,우먼즈 텐셀 실키 긴팔 티셔츠,"16,900원","['./상품이미지/상의/긴팔/우먼즈 텐셀 실키 긴팔 티셔츠1.jpg', './상품이미지/상의/긴팔/우먼즈 텐셀 실키 긴팔 티셔츠2.jpg', './상품이미지/상의/긴팔/우먼즈 텐셀 실키 긴팔 티셔츠3.jpg']",3
31,HTT Longsleeve_White,"39,200원",['./상품이미지/상의/긴팔/HTT Longsleeve_White1.jpg'],1
32,LAYERED LONG SLEEVE TSHIRTS,"34,300원","['./상품이미지/상의/긴팔/LAYERED LONG SLEEVE TSHIRTS1.jpg', './상품이미지/상의/긴팔/LAYERED LONG SLEEVE TSHIRTS2.jpg']",2
33,발리안트 타이거 롱슬리브 화이트,"29,900원",['./상품이미지/상의/긴팔/발리안트 타이거 롱슬리브 화이트1.jpg'],1
