,상품명,가격,이미지 경로,이미지 개수
0,우먼즈 베이식 크루 넥 반팔 티셔츠,"12,900원","['./상품이미지/상의/반팔/우먼즈 베이식 크루 넥 반팔 티셔츠1.jpg', './상품이미지/상의/반팔/우먼즈 베이식 크루 넥 반팔 티셔츠2.jpg', './상품이미지/상의/반팔/우먼즈 베이식 크루 넥 반팔 티셔츠3.jpg']",3
1,에센셜 쿨 코튼 2PACK 티셔츠,"44,100원","['./상품이미지/상의/반팔/에센셜 쿨 코튼 2PACK 티셔츠1.jpg', './상품이미지/상의/반팔/에센셜 쿨 코튼 2PACK 티셔츠2.jpg', './상품이미지/상의/반팔/에센셜 쿨 코튼 2PACK 티셔츠3.jpg']",3
2,NYC LOCATION TSHIRT,"35,000원",['./상품이미지/상의/반팔/NYC LOCATION TSHIRT1.jpg'],1
3,더블 코튼 롱 티셔츠,"19,800원","['./상품이미지/상의/반팔/더블 코튼 롱 티셔츠1.jpg', './상품이미지/상의/반팔/더블 코튼 롱 티셔츠2.jpg', './상품이미지/상의/반팔/더블 코튼 롱 티셔츠3.jpg']",3
4,우먼즈 베이식 크루 넥 반팔 티셔츠 S,"12,900원","['./상품이미지/상의/반팔/우먼즈 베이식 크루 넥 반팔 티셔츠48.jpg', './상품이미지/상의/반팔/우먼즈 베이식 크루 넥 반팔 티셔츠50.jpg', './상품이미지/상의/반팔/우먼즈 베이식 크루 넥 반팔 티셔츠94.jpg']",3
5,미시간 울버린 피그먼트  반팔티 블랙차콜,"25,900원","['./상품이미지/상의/반팔/미시간 울버린 피그먼트  반팔티 블랙차콜1.jpg', './상품이미지/상의/반팔/미시간 울버린 피그먼트  반팔티 블랙차콜20918']",2
6,TSHIRT FLOWERMARDI_WHITE GREEN,"42,000원","['./상품이미지/상의/반팔/TSHIRT FLOWERMARDI_WHITE GREEN1.jpg', './상품이미지/상의/반팔/TSHIRT FLOWERMARDI_WHITE GREEN2.jpg', './상품이미지/상의/반팔/TSHIRT FLOWERMARDI_WHITE GREEN3.jpg']",3
7,St Bear Tee Black,"21,000원",['./상품이미지/상의/반팔/St Bear Tee Black1.jpg'],1
8,MATIN KIM LOGO SILKET CROP TOP,"39,000원","['./상품이미지/상의/반팔/MATIN KIM LOGO SILKET CROP TOP1.jpg', './상품이미지/상의/반팔/MATIN KIM LOGO SILKET CROP TOP20918']",2
9,쿨 코튼 2PACK 티셔츠 화이트,"38,700원","['./상품이미지/상의/반팔/쿨 코튼 2PACK 티셔츠 화이트1.jpg', './상품이미지/상의/반팔/쿨 코튼 2PACK 티셔츠 화이트2.jpg', './상품이미지/상의/반팔/쿨 코튼 2PACK 티셔츠 화이트3.jpg']",3
10,우먼즈 크루 넥 크롭 반팔 티셔츠,"11,900원","['./상품이미지/상의/반팔/우먼즈 크루 넥 크롭 반팔 티셔츠1.jpg', './상품이미지/상의/반팔/우먼즈 크루 넥 크롭 반팔 티셔츠2.jpg', './상품이미지/상의/반팔/우먼즈 크루 넥 크롭 반팔 티셔츠3.jpg']",3
11,아치 로고 티셔츠 화이트,"35,100원","['./상품이미지/상의/반팔/아치 로고 티셔츠 화이트1.jpg', './상품이미지/상의/반팔/아치 로고 티셔츠 화이트2.jpg', './상품이미지/상의/반팔/아치 로고 티셔츠 화이트3.jpg']",3
12,어센틱 로고 티셔츠 화이트,"35,100원","['./상품이미지/상의/반팔/어센틱 로고 티셔츠 화이트1.jpg', './상품이미지/상의/반팔/어센틱 로고 티셔츠 화이트2.jpg', './상품이미지/상의/반팔/어센틱 로고 티셔츠 화이트3.jpg']",3
13,St Bear Tee White,"21,000원",['./상품이미지/상의/반팔/St Bear Tee White1.jpg'],1
14,RL001 오리지널 로고 반팔티 화이트,"24,000원","['./상품이미지/상의/반팔/RL001 오리지널 로고 반팔티 화이트1.jpg', './상품이미지/상의/반팔/RL001 오리지널 로고 반팔티 화이트2.jpg', './상품이미지/상의/반팔/RL001 오리지널 로고 반팔티 화이트3.jpg']",3
