,상품명,가격,이미지 경로,이미지 개수
0,클래식 화이트 셔츠 S40,"43,100원",['./상품이미지/상의/셔츠/클래식 화이트 셔츠 S401.jpg'],1
1,플러프 무드 체크 셔츠 S24 네이비,"44,200원",['./상품이미지/상의/셔츠/플러프 무드 체크 셔츠 S24 네이비1.jpg'],1
2,빈티지 블랙 도트 스트라이프 셔츠 S22,"44,500원","['./상품이미지/상의/셔츠/빈티지 블랙 도트 스트라이프 셔츠 S221.jpg', './상품이미지/상의/셔츠/빈티지 블랙 도트 스트라이프 셔츠 S2220918']",2
3,시티보이 보트자수 옥스포드 오버핏 셔츠,"39,800원",['./상품이미지/상의/셔츠/시티보이 보트자수 옥스포드 오버핏 셔츠1.jpg'],1
4,C 로고 옥스포드 스트라이프 셔츠 그레이,"71,100원","['./상품이미지/상의/셔츠/C 로고 옥스포드 스트라이프 셔츠 그레이1.jpg', './상품이미지/상의/셔츠/C 로고 옥스포드 스트라이프 셔츠 그레이2.jpg', './상품이미지/상의/셔츠/C 로고 옥스포드 스트라이프 셔츠 그레이3.jpg']",3
5,헤링본 클래식 체크 셔츠 S41,"44,100원",['./상품이미지/상의/셔츠/헤링본 클래식 체크 셔츠 S411.jpg'],1
6,우먼즈 오버사이즈 실키 셔츠,"23,900원","['./상품이미지/상의/셔츠/우먼즈 오버사이즈 실키 셔츠1.jpg', './상품이미지/상의/셔츠/우먼즈 오버사이즈 실키 셔츠2.jpg', './상품이미지/상의/셔츠/우먼즈 오버사이즈 실키 셔츠3.jpg']",3
7,링클 프리 베이직 셔츠_WHITE,"55,800원","['./상품이미지/상의/셔츠/링클 프리 베이직 셔츠_WHITE1.jpg', './상품이미지/상의/셔츠/링클 프리 베이직 셔츠_WHITE2.jpg', './상품이미지/상의/셔츠/링클 프리 베이직 셔츠_WHITE3.jpg']",3
8,시티보이 보트자수 옥스포드 오버핏 셔츠 E,"39,800원",['./상품이미지/상의/셔츠/시티보이 보트자수 옥스포드 오버핏 셔츠79.jpg'],1
9,폴리 셔츠 S372  애쉬 그레이,"39,000원",['./상품이미지/상의/셔츠/폴리 셔츠 S372  애쉬 그레이1.jpg'],1
10,플러프 무드 체크 셔츠 S24 브라운,"44,200원",['./상품이미지/상의/셔츠/플러프 무드 체크 셔츠 S24 브라운1.jpg'],1
11,와펜 스몰 하우스로고 옥스포드 셔츠 화이트,"66,600원","['./상품이미지/상의/셔츠/와펜 스몰 하우스로고 옥스포드 셔츠 화이트1.jpg', './상품이미지/상의/셔츠/와펜 스몰 하우스로고 옥스포드 셔츠 화이트2.jpg', './상품이미지/상의/셔츠/와펜 스몰 하우스로고 옥스포드 셔츠 화이트3.jpg']",3
12,유니섹스 옵티멀 베이직 린넨 셔츠화이트,"32,250원","['./상품이미지/상의/셔츠/유니섹스 옵티멀 베이직 린넨 셔츠화이트1.jpg', './상품이미지/상의/셔츠/유니섹스 옵티멀 베이직 린넨 셔츠화이트2.jpg', './상품이미지/상의/셔츠/유니섹스 옵티멀 베이직 린넨 셔츠화이트3.jpg']",3
13,오버핏 글림 스트라이프 셔츠네이비,"41,400원","['./상품이미지/상의/셔츠/오버핏 글림 스트라이프 셔츠네이비1.jpg', './상품이미지/상의/셔츠/오버핏 글림 스트라이프 셔츠네이비2.jpg', './상품이미지/상의/셔츠/오버핏 글림 스트라이프 셔츠네이비3.jpg']",3
14,시티보이 보트자수 옥스포드 오버핏 셔츠 C,"39,800원",['./상품이미지/상의/셔츠/시티보이 보트자수 옥스포드 오버핏 셔츠18.jpg'],1
15,폴링 체크 셔츠 S43,"44,200원",['./상품이미지/상의/셔츠/폴링 체크 셔츠 S431.jpg'],1
16,오버핏 글림 스트라이프 셔츠블랙,"41,400원","['./상품이미지/상의/셔츠/오버핏 글림 스트라이프 셔츠블랙1.jpg', './상품이미지/상의/셔츠/오버핏 글림 스트라이프 셔츠블랙2.jpg', './상품이미지/상의/셔츠/오버핏 글림 스트라이프 셔츠블랙3.jpg']",3
17,시티보이 보트자수 옥스포드 오버핏 셔츠 C,"39,800원",['./상품이미지/상의/셔츠/시티보이 보트자수 옥스포드 오버핏 셔츠21.jpg'],1
18,오버핏 와플 체크 셔츠베이지,"30,800원","['./상품이미지/상의/셔츠/오버핏 와플 체크 셔츠베이지1.jpg', './상품이미지/상의/셔츠/오버핏 와플 체크 셔츠베이지2.jpg', './상품이미지/상의/셔츠/오버핏 와플 체크 셔츠베이지3.jpg']",3
19,Overfit vintage check shirt_green,"35,200원","['./상품이미지/상의/셔츠/Overfit vintage check shirt_green1.jpg', './상품이미지/상의/셔츠/Overfit vintage check shirt_green2.jpg']",2
20,우먼즈 릴렉스드 크롭 실키 셔츠,"23,900원","['./상품이미지/상의/셔츠/우먼즈 릴렉스드 크롭 실키 셔츠1.jpg', './상품이미지/상의/셔츠/우먼즈 릴렉스드 크롭 실키 셔츠2.jpg', './상품이미지/상의/셔츠/우먼즈 릴렉스드 크롭 실키 셔츠3.jpg']",3
21,클래시 체크 셔츠,"29,400원","['./상품이미지/상의/셔츠/클래시 체크 셔츠1.jpg', './상품이미지/상의/셔츠/클래시 체크 셔츠2.jpg']",2
22,WOMEN 크롭 슬림 반팔 셔츠  크롭티 반팔티,"34,510원",['./상품이미지/상의/셔츠/WOMEN 크롭 슬림 반팔 셔츠  크롭티 반팔티1.jpg'],1
23,링클 프리 베이직 셔츠_SKY BLUE,"55,800원",['./상품이미지/상의/셔츠/링클 프리 베이직 셔츠_SKY BLUE1.jpg'],1
24,RC 클럽 타이 셔츠_화이트,"70,200원","['./상품이미지/상의/셔츠/RC 클럽 타이 셔츠_화이트1.jpg', './상품이미지/상의/셔츠/RC 클럽 타이 셔츠_화이트2.jpg', './상품이미지/상의/셔츠/RC 클럽 타이 셔츠_화이트3.jpg']",3
25,시티보이 보트자수 옥스포드 오버핏 셔츠 X,"39,800원",['./상품이미지/상의/셔츠/시티보이 보트자수 옥스포드 오버핏 셔츠17.jpg'],1
26,C 로고 옥스포드 스트라이프 셔츠 라이트블루,"71,100원","['./상품이미지/상의/셔츠/C 로고 옥스포드 스트라이프 셔츠 라이트블루1.jpg', './상품이미지/상의/셔츠/C 로고 옥스포드 스트라이프 셔츠 라이트블루2.jpg', './상품이미지/상의/셔츠/C 로고 옥스포드 스트라이프 셔츠 라이트블루3.jpg']",3
27,Overfit vintage check shirt_brown,"35,200원","['./상품이미지/상의/셔츠/Overfit vintage check shirt_brown1.jpg', './상품이미지/상의/셔츠/Overfit vintage check shirt_brown2.jpg']",2
28,프렌치 퍼프 블라우스_아이보리,"98,000원",['./상품이미지/상의/셔츠/프렌치 퍼프 블라우스_아이보리1.jpg'],1
29,빅카라 퍼프 블라우스_라이트 블루,"88,000원",['./상품이미지/상의/셔츠/빅카라 퍼프 블라우스_라이트 블루1.jpg'],1
30,빅카라 퍼프 블라우스_화이트,"88,000원",['./상품이미지/상의/셔츠/빅카라 퍼프 블라우스_화이트1.jpg'],1
31,시그니쳐 데님 셔츠,"79,000원",['./상품이미지/상의/셔츠/시그니쳐 데님 셔츠1.jpg'],1
32,프렌치 퍼프 블라우스_베이지,"98,000원",['./상품이미지/상의/셔츠/프렌치 퍼프 블라우스_베이지1.jpg'],1
33,네이비 리넨 솔리드 컴포트핏 셔츠,"179,000원","['./상품이미지/상의/셔츠/네이비 리넨 솔리드 컴포트핏 셔츠1.jpg', './상품이미지/상의/셔츠/네이비 리넨 솔리드 컴포트핏 셔츠2.jpg', './상품이미지/상의/셔츠/네이비 리넨 솔리드 컴포트핏 셔츠3.jpg']",3
34,라벤더 리넨 솔리드 컴포트핏 셔츠,"179,000원","['./상품이미지/상의/셔츠/라벤더 리넨 솔리드 컴포트핏 셔츠1.jpg', './상품이미지/상의/셔츠/라벤더 리넨 솔리드 컴포트핏 셔츠2.jpg', './상품이미지/상의/셔츠/라벤더 리넨 솔리드 컴포트핏 셔츠3.jpg']",3
