,상품명,가격,이미지 경로,이미지 개수
0,WOMEN 세미 플레어 미디 롱치마,"29,700원",['./상품이미지/스커트/롱스커트/WOMEN 세미 플레어 미디 롱치마1.jpg'],1
1,우먼즈 스웨트 롱 스커트,"23,900원","['./상품이미지/스커트/롱스커트/우먼즈 스웨트 롱 스커트1.jpg', './상품이미지/스커트/롱스커트/우먼즈 스웨트 롱 스커트2.jpg', './상품이미지/스커트/롱스커트/우먼즈 스웨트 롱 스커트3.jpg']",3
2,우먼즈 하이 웨이스트 슬릿 롱 스커트,"32,900원","['./상품이미지/스커트/롱스커트/우먼즈 하이 웨이스트 슬릿 롱 스커트1.jpg', './상품이미지/스커트/롱스커트/우먼즈 하이 웨이스트 슬릿 롱 스커트2.jpg', './상품이미지/스커트/롱스커트/우먼즈 하이 웨이스트 슬릿 롱 스커트3.jpg']",3
3,Madeleine  ASJF221KR30032,"198,000원","['./상품이미지/스커트/롱스커트/Madeleine  ASJF221KR300321.jpg', './상품이미지/스커트/롱스커트/Madeleine  ASJF221KR300322.jpg', './상품이미지/스커트/롱스커트/Madeleine  ASJF221KR300323.jpg']",3
4,NOI138 백 슬릿 데님 롱 스커트,"41,700원",['./상품이미지/스커트/롱스커트/NOI138 백 슬릿 데님 롱 스커트1.jpg'],1
5,언밸런스 라인 데님 스커트,"115,000원",['./상품이미지/스커트/롱스커트/언밸런스 라인 데님 스커트1.jpg'],1
6,리시안셔스 드레이핑 스커트 카라멜 브라운,"157,000원",['./상품이미지/스커트/롱스커트/리시안셔스 드레이핑 스커트 카라멜 브라운1.jpg'],1
7,드비시 커팅 스커트 주피터 네이비,"157,000원",['./상품이미지/스커트/롱스커트/드비시 커팅 스커트 주피터 네이비1.jpg'],1
8,드비시 커팅 스커트 비터 블랙,"157,000원",['./상품이미지/스커트/롱스커트/드비시 커팅 스커트 비터 블랙1.jpg'],1
9,댄싱 뮤즈 마일드 스커트 네이비,"97,000원",['./상품이미지/스커트/롱스커트/댄싱 뮤즈 마일드 스커트 네이비1.jpg'],1
10,H라인 포켓 미디 스커트 네이비,"64,000원",['./상품이미지/스커트/롱스커트/H라인 포켓 미디 스커트 네이비1.jpg'],1
11,플레어 코튼 미디 스커트 아이보리,"54,000원",['./상품이미지/스커트/롱스커트/플레어 코튼 미디 스커트 아이보리1.jpg'],1
12,플레어 코튼 미디 스커트 베이지,"54,000원",['./상품이미지/스커트/롱스커트/플레어 코튼 미디 스커트 베이지1.jpg'],1
13,H라인 포켓 미디 스커트 화이트,"64,000원",['./상품이미지/스커트/롱스커트/H라인 포켓 미디 스커트 화이트1.jpg'],1
14,Lead Setup Skirt,"78,000원","['./상품이미지/스커트/롱스커트/Lead Setup Skirt1.jpg', './상품이미지/스커트/롱스커트/Lead Setup Skirt2.jpg', './상품이미지/스커트/롱스커트/Lead Setup Skirt3.jpg']",3
15,SI JN 6031 classy slit denim skirt,"93,000원",['./상품이미지/스커트/롱스커트/SI JN 6031 classy slit denim skirt1.jpg'],1
16,리에 플라워 플리츠 스커트 black,"57,600원",['./상품이미지/스커트/롱스커트/리에 플라워 플리츠 스커트 black1.jpg'],1
17,마로 트위드 롱 스커트 black,"59,200원",['./상품이미지/스커트/롱스커트/마로 트위드 롱 스커트 black1.jpg'],1
18,코스터 플리츠 롱스커트 darkgreen,"47,200원",['./상품이미지/스커트/롱스커트/코스터 플리츠 롱스커트 darkgreen1.jpg'],1
19,조이 도트 플리츠 스커트 ivory,"57,600원",['./상품이미지/스커트/롱스커트/조이 도트 플리츠 스커트 ivory1.jpg'],1
20,조이 도트 플리츠 스커트 black,"57,600원",['./상품이미지/스커트/롱스커트/조이 도트 플리츠 스커트 black1.jpg'],1
21,리에 플라워 플리츠 스커트 ivory,"57,600원",['./상품이미지/스커트/롱스커트/리에 플라워 플리츠 스커트 ivory1.jpg'],1
22,Sultry Face Maxi Skirt Black,"56,050원",['./상품이미지/스커트/롱스커트/Sultry Face Maxi Skirt Black1.jpg'],1
