,상품명,가격,이미지 경로,이미지 개수
0,Full Pleats Skirt_Navy,"175,500원",['./상품이미지/스커트/미니스커트/Full Pleats Skirt_Navy1.jpg'],1
1,Pleats Skirt_Green,"166,500원",['./상품이미지/스커트/미니스커트/Pleats Skirt_Green1.jpg'],1
2,Pleats Skirt_Cream,"166,500원",['./상품이미지/스커트/미니스커트/Pleats Skirt_Cream1.jpg'],1
3,Full Pleats Skirt_White,"175,500원",['./상품이미지/스커트/미니스커트/Full Pleats Skirt_White1.jpg'],1
4,여자골프웨어 밴딩스커트,"118,000원",['./상품이미지/스커트/미니스커트/여자골프웨어 밴딩스커트1.jpg'],1
5,여자골프웨어 주름스커트,"138,000원",['./상품이미지/스커트/미니스커트/여자골프웨어 주름스커트1.jpg'],1
6,여자골프웨어 주름스커트 N,"138,000원",['./상품이미지/스커트/미니스커트/여자골프웨어 주름스커트12.jpg'],1
7,여자골프웨어 밴딩스커트 I,"118,000원",['./상품이미지/스커트/미니스커트/여자골프웨어 밴딩스커트78.jpg'],1
8,Coated color block skirt_Blue,"49,500원","['./상품이미지/스커트/미니스커트/Coated color block skirt_Blue1.jpg', './상품이미지/스커트/미니스커트/Coated color block skirt_Blue2.jpg', './상품이미지/스커트/미니스커트/Coated color block skirt_Blue3.jpg']",3
9,Coated color block skirt_Coral,"49,500원","['./상품이미지/스커트/미니스커트/Coated color block skirt_Coral1.jpg', './상품이미지/스커트/미니스커트/Coated color block skirt_Coral2.jpg', './상품이미지/스커트/미니스커트/Coated color block skirt_Coral3.jpg']",3
10,Checkered pleated skirt,"61,200원","['./상품이미지/스커트/미니스커트/Checkered pleated skirt1.jpg', './상품이미지/스커트/미니스커트/Checkered pleated skirt2.jpg', './상품이미지/스커트/미니스커트/Checkered pleated skirt3.jpg']",3
11,DULMINI SKIRT BLACK,"49,000원",['./상품이미지/스커트/미니스커트/DULMINI SKIRT BLACK1.jpg'],1
12,여성 골프 벨트 포켓 플리츠 큐롯 스커트 VLCUM215_BK,"219,000원",['./상품이미지/스커트/미니스커트/여성 골프 벨트 포켓 플리츠 큐롯 스커트 VLCUM215_BK1.jpg'],1
13,블루 플리츠 스커트,"360,000원",['./상품이미지/스커트/미니스커트/블루 플리츠 스커트1.jpg'],1
14,시스루 배색 플리츠 A라인 여성 큐롯_CGWSK223690WH,"238,000원",['./상품이미지/스커트/미니스커트/시스루 배색 플리츠 A라인 여성 큐롯_CGWSK223690WH1.jpg'],1
15,허리밴딩 플레어 여성 A라인 큐롯_CGWSK223660BK,"188,000원",['./상품이미지/스커트/미니스커트/허리밴딩 플레어 여성 A라인 큐롯_CGWSK223660BK1.jpg'],1
16,시스루 배색 플리츠 A라인 여성 큐롯_CGWSK223690BK,"238,000원",['./상품이미지/스커트/미니스커트/시스루 배색 플리츠 A라인 여성 큐롯_CGWSK223690BK1.jpg'],1
17,블루 플레어 스커트,"340,000원",['./상품이미지/스커트/미니스커트/블루 플레어 스커트1.jpg'],1
18,허리밴딩 플레어 여성 A라인 큐롯_CGWSK223660GN,"188,000원",['./상품이미지/스커트/미니스커트/허리밴딩 플레어 여성 A라인 큐롯_CGWSK223660GN1.jpg'],1
19,시스루 배색 플리츠 A라인 여성 큐롯_CGWSK223690MT,"238,000원",['./상품이미지/스커트/미니스커트/시스루 배색 플리츠 A라인 여성 큐롯_CGWSK223690MT1.jpg'],1
20,허리밴딩 플레어 여성 A라인 큐롯_CGWSK223660KH,"188,000원",['./상품이미지/스커트/미니스커트/허리밴딩 플레어 여성 A라인 큐롯_CGWSK223660KH1.jpg'],1
21,시스루 배색 플리츠 A라인 여성 큐롯_CGWSK223690KH,"238,000원",['./상품이미지/스커트/미니스커트/시스루 배색 플리츠 A라인 여성 큐롯_CGWSK223690KH1.jpg'],1
22,Asymmetric incision wrap skirt in Black,"74,100원",['./상품이미지/스커트/미니스커트/Asymmetric incision wrap skirt in Black1.jpg'],1
23,허리밴딩 플레어 여성 A라인 큐롯_CGWSK223660WH,"188,000원",['./상품이미지/스커트/미니스커트/허리밴딩 플레어 여성 A라인 큐롯_CGWSK223660WH1.jpg'],1
24,TWEED ALINE SKIRT BLUE,"55,200원","['./상품이미지/스커트/미니스커트/TWEED ALINE SKIRT BLUE1.jpg', './상품이미지/스커트/미니스커트/TWEED ALINE SKIRT BLUE2.jpg', './상품이미지/스커트/미니스커트/TWEED ALINE SKIRT BLUE3.jpg']",3
25,플레어 스커트,"340,000원","['./상품이미지/스커트/미니스커트/플레어 스커트1.jpg', './상품이미지/스커트/미니스커트/플레어 스커트2.jpg']",2
26,TWEED ALINE SKIRT GREEN,"55,200원","['./상품이미지/스커트/미니스커트/TWEED ALINE SKIRT GREEN1.jpg', './상품이미지/스커트/미니스커트/TWEED ALINE SKIRT GREEN2.jpg', './상품이미지/스커트/미니스커트/TWEED ALINE SKIRT GREEN3.jpg']",3
27,코튼 핀턱 미니 스커트,"109,000원","['./상품이미지/스커트/미니스커트/코튼 핀턱 미니 스커트1.jpg', './상품이미지/스커트/미니스커트/코튼 핀턱 미니 스커트2.jpg', './상품이미지/스커트/미니스커트/코튼 핀턱 미니 스커트3.jpg']",3
28,코튼폴리 카고 플레어 스커트 CP CARGO FLARE SK,"79,900원","['./상품이미지/스커트/미니스커트/코튼폴리 카고 플레어 스커트 CP CARGO FLARE SK1.jpg', './상품이미지/스커트/미니스커트/코튼폴리 카고 플레어 스커트 CP CARGO FLARE SK2.jpg', './상품이미지/스커트/미니스커트/코튼폴리 카고 플레어 스커트 CP CARGO FLARE SK3.jpg']",3
29,코튼 핀턱 미니 스커트 D,"109,000원","['./상품이미지/스커트/미니스커트/코튼 핀턱 미니 스커트71.jpg', './상품이미지/스커트/미니스커트/코튼 핀턱 미니 스커트67.jpg', './상품이미지/스커트/미니스커트/코튼 핀턱 미니 스커트13.jpg']",3
30,키르시 로우 웨이스트 플리츠 스커트,"89,100원","['./상품이미지/스커트/미니스커트/키르시 로우 웨이스트 플리츠 스커트1.jpg', './상품이미지/스커트/미니스커트/키르시 로우 웨이스트 플리츠 스커트2.jpg', './상품이미지/스커트/미니스커트/키르시 로우 웨이스트 플리츠 스커트3.jpg']",3
31,키르시 로우 웨이스트 플리츠 스커트 E,"89,100원","['./상품이미지/스커트/미니스커트/키르시 로우 웨이스트 플리츠 스커트27.jpg', './상품이미지/스커트/미니스커트/키르시 로우 웨이스트 플리츠 스커트80.jpg', './상품이미지/스커트/미니스커트/키르시 로우 웨이스트 플리츠 스커트75.jpg']",3
32,New Cindy Metal Skirt Silver,"122,550원",['./상품이미지/스커트/미니스커트/New Cindy Metal Skirt Silver1.jpg'],1
33,C RHINESTONE JERSEY FLARE SKIRT_BROWN,"49,000원","['./상품이미지/스커트/미니스커트/C RHINESTONE JERSEY FLARE SKIRT_BROWN1.jpg', './상품이미지/스커트/미니스커트/C RHINESTONE JERSEY FLARE SKIRT_BROWN2.jpg', './상품이미지/스커트/미니스커트/C RHINESTONE JERSEY FLARE SKIRT_BROWN3.jpg']",3
34,블랙 플리츠 밴드스커트,"198,000원","['./상품이미지/스커트/미니스커트/블랙 플리츠 밴드스커트1.jpg', './상품이미지/스커트/미니스커트/블랙 플리츠 밴드스커트2.jpg']",2
35,PERFORMANCE SKIRT,"283,000원",['./상품이미지/스커트/미니스커트/PERFORMANCE SKIRT1.jpg'],1
36,PERFORMANCE SKIRT Z,"283,000원",['./상품이미지/스커트/미니스커트/PERFORMANCE SKIRT56.jpg'],1
37,PLEATED SKIRT,"283,000원",['./상품이미지/스커트/미니스커트/PLEATED SKIRT1.jpg'],1
38,22SS FLAVOUR TENNIS SKIRT _01,"169,000원","['./상품이미지/스커트/미니스커트/22SS FLAVOUR TENNIS SKIRT _011.jpg', './상품이미지/스커트/미니스커트/22SS FLAVOUR TENNIS SKIRT _012.jpg', './상품이미지/스커트/미니스커트/22SS FLAVOUR TENNIS SKIRT _013.jpg']",3
39,22SS FLAVOUR TENNIS CHECK SKIRT _02,"169,000원","['./상품이미지/스커트/미니스커트/22SS FLAVOUR TENNIS CHECK SKIRT _021.jpg', './상품이미지/스커트/미니스커트/22SS FLAVOUR TENNIS CHECK SKIRT _022.jpg', './상품이미지/스커트/미니스커트/22SS FLAVOUR TENNIS CHECK SKIRT _023.jpg']",3
40,22SS FLAVOUR TENNIS CHECK SKIRT _01,"169,000원","['./상품이미지/스커트/미니스커트/22SS FLAVOUR TENNIS CHECK SKIRT _011.jpg', './상품이미지/스커트/미니스커트/22SS FLAVOUR TENNIS CHECK SKIRT _012.jpg', './상품이미지/스커트/미니스커트/22SS FLAVOUR TENNIS CHECK SKIRT _013.jpg']",3
41,22SS FLAVOUR TENNIS SKIRT _02,"169,000원","['./상품이미지/스커트/미니스커트/22SS FLAVOUR TENNIS SKIRT _021.jpg', './상품이미지/스커트/미니스커트/22SS FLAVOUR TENNIS SKIRT _022.jpg', './상품이미지/스커트/미니스커트/22SS FLAVOUR TENNIS SKIRT _023.jpg']",3
42,Aline mini skirt_beige,"80,100원","['./상품이미지/스커트/미니스커트/Aline mini skirt_beige1.jpg', './상품이미지/스커트/미니스커트/Aline mini skirt_beige2.jpg', './상품이미지/스커트/미니스커트/Aline mini skirt_beige3.jpg']",3
43,Aline mini skirt_black,"80,100원","['./상품이미지/스커트/미니스커트/Aline mini skirt_black1.jpg', './상품이미지/스커트/미니스커트/Aline mini skirt_black2.jpg', './상품이미지/스커트/미니스커트/Aline mini skirt_black3.jpg']",3
44,플레어 스커트 N,"69,000원","['./상품이미지/스커트/미니스커트/플레어 스커트96.jpg', './상품이미지/스커트/미니스커트/플레어 스커트81.jpg', './상품이미지/스커트/미니스커트/플레어 스커트3.jpg']",3
45,라인 플리츠 미니 스커트 블랙,"68,400원","['./상품이미지/스커트/미니스커트/라인 플리츠 미니 스커트 블랙1.jpg', './상품이미지/스커트/미니스커트/라인 플리츠 미니 스커트 블랙2.jpg', './상품이미지/스커트/미니스커트/라인 플리츠 미니 스커트 블랙3.jpg']",3
46,커버밴드 A라인 데님 스커트,"40,500원","['./상품이미지/스커트/미니스커트/커버밴드 A라인 데님 스커트1.jpg', './상품이미지/스커트/미니스커트/커버밴드 A라인 데님 스커트2.jpg', './상품이미지/스커트/미니스커트/커버밴드 A라인 데님 스커트3.jpg']",3
47,C RHINESTONE JERSEY FLARE SKIRT_PINK,"49,000원","['./상품이미지/스커트/미니스커트/C RHINESTONE JERSEY FLARE SKIRT_PINK1.jpg', './상품이미지/스커트/미니스커트/C RHINESTONE JERSEY FLARE SKIRT_PINK2.jpg']",2
48,C RHINESTONE JERSEY FLARE SKIRT_WHITE,"49,000원","['./상품이미지/스커트/미니스커트/C RHINESTONE JERSEY FLARE SKIRT_WHITE1.jpg', './상품이미지/스커트/미니스커트/C RHINESTONE JERSEY FLARE SKIRT_WHITE2.jpg']",2
49,미니스커트 TR스판 브라운 MDSK009TRBROWN,"69,000원","['./상품이미지/스커트/미니스커트/미니스커트 TR스판 브라운 MDSK009TRBROWN1.jpg', './상품이미지/스커트/미니스커트/미니스커트 TR스판 브라운 MDSK009TRBROWN2.jpg', './상품이미지/스커트/미니스커트/미니스커트 TR스판 브라운 MDSK009TRBROWN3.jpg']",3
50,미니스커트 TR스판 차콜 MDSK009CHARCOAL,"69,000원","['./상품이미지/스커트/미니스커트/미니스커트 TR스판 차콜 MDSK009CHARCOAL1.jpg', './상품이미지/스커트/미니스커트/미니스커트 TR스판 차콜 MDSK009CHARCOAL2.jpg', './상품이미지/스커트/미니스커트/미니스커트 TR스판 차콜 MDSK009CHARCOAL3.jpg']",3
51,미니스커트 TR스판 라이트베이지 MDSK009LBEIGE,"69,000원","['./상품이미지/스커트/미니스커트/미니스커트 TR스판 라이트베이지 MDSK009LBEIGE1.jpg', './상품이미지/스커트/미니스커트/미니스커트 TR스판 라이트베이지 MDSK009LBEIGE2.jpg', './상품이미지/스커트/미니스커트/미니스커트 TR스판 라이트베이지 MDSK009LBEIGE3.jpg']",3
52,스카이 블루 데님 미니 스커트,"39,900원","['./상품이미지/스커트/미니스커트/스카이 블루 데님 미니 스커트1.jpg', './상품이미지/스커트/미니스커트/스카이 블루 데님 미니 스커트2.jpg', './상품이미지/스커트/미니스커트/스카이 블루 데님 미니 스커트3.jpg']",3
