,상품명,가격,이미지 경로,이미지 개수
0,TS 롱 다운 자켓 블랙 93254701,"99,900원","['./상품이미지/아우터/롱패딩/TS 롱 다운 자켓 블랙 932547011.jpg', './상품이미지/아우터/롱패딩/TS 롱 다운 자켓 블랙 932547012.jpg', './상품이미지/아우터/롱패딩/TS 롱 다운 자켓 블랙 932547013.jpg']",3
1,NC1DM73A 액트 프리 EX 하이브리드 다운 코트,"269,100원","['./상품이미지/아우터/롱패딩/NC1DM73A 액트 프리 EX 하이브리드 다운 코트1.jpg', './상품이미지/아우터/롱패딩/NC1DM73A 액트 프리 EX 하이브리드 다운 코트2.jpg', './상품이미지/아우터/롱패딩/NC1DM73A 액트 프리 EX 하이브리드 다운 코트3.jpg']",3
2,NC1DM72A 챌린지 에어 다운 코트,"375,345원","['./상품이미지/아우터/롱패딩/NC1DM72A 챌린지 에어 다운 코트1.jpg', './상품이미지/아우터/롱패딩/NC1DM72A 챌린지 에어 다운 코트2.jpg', './상품이미지/아우터/롱패딩/NC1DM72A 챌린지 에어 다운 코트3.jpg']",3
3,여성 쉬라 패딩 네이비 SHERANAVY,"1,280,000원","['./상품이미지/아우터/롱패딩/여성 쉬라 패딩 네이비 SHERANAVY1.jpg', './상품이미지/아우터/롱패딩/여성 쉬라 패딩 네이비 SHERANAVY2.jpg', './상품이미지/아우터/롱패딩/여성 쉬라 패딩 네이비 SHERANAVY3.jpg']",3
4,오리지널 헤비 덕다운 M1990 스웨덴 파카_Black,"99,900원",['./상품이미지/아우터/롱패딩/오리지널 헤비 덕다운 M1990 스웨덴 파카_Black1.jpg'],1
5,여성 모건 패딩 블랙 MORGANBLACK,"1,080,000원","['./상품이미지/아우터/롱패딩/여성 모건 패딩 블랙 MORGANBLACK1.jpg', './상품이미지/아우터/롱패딩/여성 모건 패딩 블랙 MORGANBLACK2.jpg', './상품이미지/아우터/롱패딩/여성 모건 패딩 블랙 MORGANBLACK3.jpg']",3
6,여성 제니스 파카 블랙 ZENITHBLACK,"1,000,000원","['./상품이미지/아우터/롱패딩/여성 제니스 파카 블랙 ZENITHBLACK1.jpg', './상품이미지/아우터/롱패딩/여성 제니스 파카 블랙 ZENITHBLACK2.jpg', './상품이미지/아우터/롱패딩/여성 제니스 파카 블랙 ZENITHBLACK3.jpg']",3
7,여성 모건 패딩 스틸 그레이 MORGANSTEELGREY,"1,080,000원","['./상품이미지/아우터/롱패딩/여성 모건 패딩 스틸 그레이 MORGANSTEELGREY1.jpg', './상품이미지/아우터/롱패딩/여성 모건 패딩 스틸 그레이 MORGANSTEELGREY2.jpg', './상품이미지/아우터/롱패딩/여성 모건 패딩 스틸 그레이 MORGANSTEELGREY3.jpg']",3
8,여성 쉬라 패딩 스틸 그레이 SHERASTEELGREY,"1,280,000원","['./상품이미지/아우터/롱패딩/여성 쉬라 패딩 스틸 그레이 SHERASTEELGREY1.jpg', './상품이미지/아우터/롱패딩/여성 쉬라 패딩 스틸 그레이 SHERASTEELGREY2.jpg', './상품이미지/아우터/롱패딩/여성 쉬라 패딩 스틸 그레이 SHERASTEELGREY3.jpg']",3
9,여성 쉬라 패딩 블랙 SHERAHBLACK,"1,280,000원","['./상품이미지/아우터/롱패딩/여성 쉬라 패딩 블랙 SHERAHBLACK1.jpg', './상품이미지/아우터/롱패딩/여성 쉬라 패딩 블랙 SHERAHBLACK2.jpg', './상품이미지/아우터/롱패딩/여성 쉬라 패딩 블랙 SHERAHBLACK3.jpg']",3
10,레스터G 여성 RDS 구스다운 롱패딩,"399,000원","['./상품이미지/아우터/롱패딩/레스터G 여성 RDS 구스다운 롱패딩1.jpg', './상품이미지/아우터/롱패딩/레스터G 여성 RDS 구스다운 롱패딩2.jpg', './상품이미지/아우터/롱패딩/레스터G 여성 RDS 구스다운 롱패딩3.jpg']",3
11,여성 LIMEHOUSE 롱 패딩 22SS,"1,725,000원",['./상품이미지/아우터/롱패딩/여성 LIMEHOUSE 롱 패딩 22SS1.jpg'],1
12,여성 마리오니에르 롱패딩 블랙 G20931C0003654155999,"2,754,000원","['./상품이미지/아우터/롱패딩/여성 마리오니에르 롱패딩 블랙 G20931C00036541559991.jpg', './상품이미지/아우터/롱패딩/여성 마리오니에르 롱패딩 블랙 G20931C00036541559992.jpg', './상품이미지/아우터/롱패딩/여성 마리오니에르 롱패딩 블랙 G20931C00036541559993.jpg']",3
13,여성 LIMEHOUSE 롱 패딩 22SS I,"1,725,000원",['./상품이미지/아우터/롱패딩/여성 LIMEHOUSE 롱 패딩 22SS25.jpg'],1
14,22SS 8046636 A1189 브리짓워터 후드 카 코트,"1,428,000원","['./상품이미지/아우터/롱패딩/22SS 8046636 A1189 브리짓워터 후드 카 코트1.jpg', './상품이미지/아우터/롱패딩/22SS 8046636 A1189 브리짓워터 후드 카 코트2.jpg', './상품이미지/아우터/롱패딩/22SS 8046636 A1189 브리짓워터 후드 카 코트3.jpg']",3
15,NC1DM71A 고 프리 다운 코트,"273,600원","['./상품이미지/아우터/롱패딩/NC1DM71A 고 프리 다운 코트1.jpg', './상품이미지/아우터/롱패딩/NC1DM71A 고 프리 다운 코트2.jpg', './상품이미지/아우터/롱패딩/NC1DM71A 고 프리 다운 코트3.jpg']",3
16,반슬리 다운 여성 롱패딩,"329,000원","['./상품이미지/아우터/롱패딩/반슬리 다운 여성 롱패딩1.jpg', './상품이미지/아우터/롱패딩/반슬리 다운 여성 롱패딩2.jpg', './상품이미지/아우터/롱패딩/반슬리 다운 여성 롱패딩3.jpg']",3
17,네이비 디테처블 후드 미디엄 덕 다운,"321,300원","['./상품이미지/아우터/롱패딩/네이비 디테처블 후드 미디엄 덕 다운1.jpg', './상품이미지/아우터/롱패딩/네이비 디테처블 후드 미디엄 덕 다운2.jpg', './상품이미지/아우터/롱패딩/네이비 디테처블 후드 미디엄 덕 다운3.jpg']",3
18,라이트 덕 다운 롱 패딩_BK,"49,000원","['./상품이미지/아우터/롱패딩/라이트 덕 다운 롱 패딩_BK1.jpg', './상품이미지/아우터/롱패딩/라이트 덕 다운 롱 패딩_BK2.jpg', './상품이미지/아우터/롱패딩/라이트 덕 다운 롱 패딩_BK3.jpg']",3
19,레스터G 여성 RDS 구스다운 빅로고 롱패딩,"399,000원","['./상품이미지/아우터/롱패딩/레스터G 여성 RDS 구스다운 빅로고 롱패딩1.jpg', './상품이미지/아우터/롱패딩/레스터G 여성 RDS 구스다운 빅로고 롱패딩2.jpg', './상품이미지/아우터/롱패딩/레스터G 여성 RDS 구스다운 빅로고 롱패딩3.jpg']",3
