,상품명,가격,이미지 경로,이미지 개수
0,파스텔 푸퍼_SPJPB4TG01,"49,900원","['./상품이미지/아우터/숏패딩/파스텔 푸퍼_SPJPB4TG011.jpg', './상품이미지/아우터/숏패딩/파스텔 푸퍼_SPJPB4TG012.jpg', './상품이미지/아우터/숏패딩/파스텔 푸퍼_SPJPB4TG013.jpg']",3
1,덕다운 심리스 미니멀 푸퍼 숏패딩_Gray,"79,900원","['./상품이미지/아우터/숏패딩/덕다운 심리스 미니멀 푸퍼 숏패딩_Gray1.jpg', './상품이미지/아우터/숏패딩/덕다운 심리스 미니멀 푸퍼 숏패딩_Gray20918']",2
2,덕다운 심리스 미니멀 푸퍼 숏패딩_Black,"79,900원","['./상품이미지/아우터/숏패딩/덕다운 심리스 미니멀 푸퍼 숏패딩_Black1.jpg', './상품이미지/아우터/숏패딩/덕다운 심리스 미니멀 푸퍼 숏패딩_Black20918']",2
3,덕다운 심리스 미니멀 푸퍼 숏패딩_Khaki,"79,900원","['./상품이미지/아우터/숏패딩/덕다운 심리스 미니멀 푸퍼 숏패딩_Khaki1.jpg', './상품이미지/아우터/숏패딩/덕다운 심리스 미니멀 푸퍼 숏패딩_Khaki20918']",2
4,여성 에어리 2.0 다운 자켓_SL3WD21W011,"319,000원",['./상품이미지/아우터/숏패딩/여성 에어리 2.0 다운 자켓_SL3WD21W0111.jpg'],1
5,2WAY 유틸리티 후드 MA1 자켓_블랙,"79,900원","['./상품이미지/아우터/숏패딩/2WAY 유틸리티 후드 MA1 자켓_블랙1.jpg', './상품이미지/아우터/숏패딩/2WAY 유틸리티 후드 MA1 자켓_블랙2.jpg', './상품이미지/아우터/숏패딩/2WAY 유틸리티 후드 MA1 자켓_블랙3.jpg']",3
6,오버핏 코쿤 웰론 패딩,"129,000원","['./상품이미지/아우터/숏패딩/오버핏 코쿤 웰론 패딩1.jpg', './상품이미지/아우터/숏패딩/오버핏 코쿤 웰론 패딩2.jpg', './상품이미지/아우터/숏패딩/오버핏 코쿤 웰론 패딩3.jpg']",3
7,덕다운 심리스 미니멀 푸퍼 숏패딩_Cream,"79,900원","['./상품이미지/아우터/숏패딩/덕다운 심리스 미니멀 푸퍼 숏패딩_Cream1.jpg', './상품이미지/아우터/숏패딩/덕다운 심리스 미니멀 푸퍼 숏패딩_Cream20918']",2
8,리버시블 라이트 다운 자켓 블랙,"111,200원","['./상품이미지/아우터/숏패딩/리버시블 라이트 다운 자켓 블랙1.jpg', './상품이미지/아우터/숏패딩/리버시블 라이트 다운 자켓 블랙2.jpg', './상품이미지/아우터/숏패딩/리버시블 라이트 다운 자켓 블랙3.jpg']",3
9,클럽 파이핑 숏 패딩 점퍼 블랙,"129,000원","['./상품이미지/아우터/숏패딩/클럽 파이핑 숏 패딩 점퍼 블랙1.jpg', './상품이미지/아우터/숏패딩/클럽 파이핑 숏 패딩 점퍼 블랙20918']",2
10,여성 에어리 2.0 다운 자켓_SL3WD21W012,"319,000원",['./상품이미지/아우터/숏패딩/여성 에어리 2.0 다운 자켓_SL3WD21W0121.jpg'],1
11,Useful Over Short Padding_Indi Beige,"49,900원",['./상품이미지/아우터/숏패딩/Useful Over Short Padding_Indi Beige1.jpg'],1
12,에센셜 푸퍼 숏 패딩_그레이,"48,900원",['./상품이미지/아우터/숏패딩/에센셜 푸퍼 숏 패딩_그레이1.jpg'],1
13,여성 에비 파카 블랙 ABBYBLACK,"862,000원","['./상품이미지/아우터/숏패딩/여성 에비 파카 블랙 ABBYBLACK1.jpg', './상품이미지/아우터/숏패딩/여성 에비 파카 블랙 ABBYBLACK2.jpg', './상품이미지/아우터/숏패딩/여성 에비 파카 블랙 ABBYBLACK3.jpg']",3
14,여성 에비 파카 네이비 ABBYNAVY,"862,000원","['./상품이미지/아우터/숏패딩/여성 에비 파카 네이비 ABBYNAVY1.jpg', './상품이미지/아우터/숏패딩/여성 에비 파카 네이비 ABBYNAVY2.jpg', './상품이미지/아우터/숏패딩/여성 에비 파카 네이비 ABBYNAVY3.jpg']",3
15,VERSATILE  여성 슬림 다운 자켓_Black,"255,000원",['./상품이미지/아우터/숏패딩/VERSATILE  여성 슬림 다운 자켓_Black1.jpg'],1
16,여성 패딩 22SS,"632,000원",['./상품이미지/아우터/숏패딩/여성 패딩 22SS1.jpg'],1
17,RDS 리버시블 숏 푸퍼 블랙,"174,300원","['./상품이미지/아우터/숏패딩/RDS 리버시블 숏 푸퍼 블랙1.jpg', './상품이미지/아우터/숏패딩/RDS 리버시블 숏 푸퍼 블랙2.jpg', './상품이미지/아우터/숏패딩/RDS 리버시블 숏 푸퍼 블랙3.jpg']",3
18,픽토르 U 구스다운 경량패딩,"159,000원","['./상품이미지/아우터/숏패딩/픽토르 U 구스다운 경량패딩1.png', './상품이미지/아우터/숏패딩/픽토르 U 구스다운 경량패딩2.png', './상품이미지/아우터/숏패딩/픽토르 U 구스다운 경량패딩3.jpg']",3
19,미니멀 푸퍼 숏 패딩_블랙,"49,900원",['./상품이미지/아우터/숏패딩/미니멀 푸퍼 숏 패딩_블랙1.jpg'],1
20,에스텔라 54810227000 ESTELLA 002 여자 양면 패딩 점퍼 자켓,"393,000원","['./상품이미지/아우터/숏패딩/에스텔라 54810227000 ESTELLA 002 여자 양면 패딩 점퍼 자켓1.jpg', './상품이미지/아우터/숏패딩/에스텔라 54810227000 ESTELLA 002 여자 양면 패딩 점퍼 자켓2.jpg', './상품이미지/아우터/숏패딩/에스텔라 54810227000 ESTELLA 002 여자 양면 패딩 점퍼 자켓3.jpg']",3
21,여성 패딩 22SS Q,"574,000원",['./상품이미지/아우터/숏패딩/여성 패딩 22SS90.jpg'],1
22,에센셜 푸퍼 숏 패딩_블랙,"48,900원",['./상품이미지/아우터/숏패딩/에센셜 푸퍼 숏 패딩_블랙1.jpg'],1
23,여성 패딩 22SS V,"574,000원",['./상품이미지/아우터/숏패딩/여성 패딩 22SS12.jpg'],1
24,에스텔라 54810227000 ESTELLA 014 여자 양면 패딩 점퍼 자켓,"393,000원","['./상품이미지/아우터/숏패딩/에스텔라 54810227000 ESTELLA 014 여자 양면 패딩 점퍼 자켓1.jpg', './상품이미지/아우터/숏패딩/에스텔라 54810227000 ESTELLA 014 여자 양면 패딩 점퍼 자켓2.jpg', './상품이미지/아우터/숏패딩/에스텔라 54810227000 ESTELLA 014 여자 양면 패딩 점퍼 자켓3.jpg']",3
25,여성 패딩 22SS U,"678,000원",['./상품이미지/아우터/숏패딩/여성 패딩 22SS82.jpg'],1
26,오버핏 코쿤 웰론 패딩 O,"129,000원","['./상품이미지/아우터/숏패딩/오버핏 코쿤 웰론 패딩71.jpg', './상품이미지/아우터/숏패딩/오버핏 코쿤 웰론 패딩100.jpg', './상품이미지/아우터/숏패딩/오버핏 코쿤 웰론 패딩84.jpg']",3
27,Coline Padded Jacket_Ivory,"299,000원",['./상품이미지/아우터/숏패딩/Coline Padded Jacket_Ivory1.jpg'],1
28,Coline Padded Jacket_Grayish Khaki,"299,000원",['./상품이미지/아우터/숏패딩/Coline Padded Jacket_Grayish Khaki1.jpg'],1
29,여성 리버시블 패딩 22SS,"597,000원",['./상품이미지/아우터/숏패딩/여성 리버시블 패딩 22SS1.jpg'],1
30,여성 KEMPTOWNSHT 자켓 22SS,"2,186,000원",['./상품이미지/아우터/숏패딩/여성 KEMPTOWNSHT 자켓 22SS1.jpg'],1
31,미니멀 다운 오버 숏 패딩_블랙,"89,550원",['./상품이미지/아우터/숏패딩/미니멀 다운 오버 숏 패딩_블랙1.jpg'],1
32,플라이트 튜브 경량 구스다운 블랙,"179,000원","['./상품이미지/아우터/숏패딩/플라이트 튜브 경량 구스다운 블랙1.jpg', './상품이미지/아우터/숏패딩/플라이트 튜브 경량 구스다운 블랙2.jpg', './상품이미지/아우터/숏패딩/플라이트 튜브 경량 구스다운 블랙3.jpg']",3
33,여성 패딩 자켓 22SS,"356,000원",['./상품이미지/아우터/숏패딩/여성 패딩 자켓 22SS1.jpg'],1
34,클럽 파이핑 숏 패딩 점퍼 그레이,"129,000원","['./상품이미지/아우터/숏패딩/클럽 파이핑 숏 패딩 점퍼 그레이1.jpg', './상품이미지/아우터/숏패딩/클럽 파이핑 숏 패딩 점퍼 그레이20918']",2
