,상품명,가격,이미지 경로,이미지 개수
0,포플린 코튼 와이드 칼라 맥코트_Begie,"108,000원",['./상품이미지/아우터/트렌치 코트/포플린 코튼 와이드 칼라 맥코트_Begie1.jpg'],1
1,울 트렌치 코트,"191,200원","['./상품이미지/아우터/트렌치 코트/울 트렌치 코트1.jpg', './상품이미지/아우터/트렌치 코트/울 트렌치 코트20918']",2
2,리지 드로우 스트링 트렌치코트_베이지,"212,400원","['./상품이미지/아우터/트렌치 코트/리지 드로우 스트링 트렌치코트_베이지1.jpg', './상품이미지/아우터/트렌치 코트/리지 드로우 스트링 트렌치코트_베이지2.jpg']",2
3,6201 오버사이즈 트렌치 코트 _ 베이지,"198,000원","['./상품이미지/아우터/트렌치 코트/6201 오버사이즈 트렌치 코트 _ 베이지1.jpg', './상품이미지/아우터/트렌치 코트/6201 오버사이즈 트렌치 코트 _ 베이지2.jpg', './상품이미지/아우터/트렌치 코트/6201 오버사이즈 트렌치 코트 _ 베이지3.jpg']",3
4,클래식 오버핏 트렌치 코트 블랙,"178,000원",['./상품이미지/아우터/트렌치 코트/클래식 오버핏 트렌치 코트 블랙1.jpg'],1
5,클래식 오버핏 트렌치 코트 크림,"178,000원",['./상품이미지/아우터/트렌치 코트/클래식 오버핏 트렌치 코트 크림1.jpg'],1
6,리지 드로우 스트링 트렌치코트_네이비,"212,400원","['./상품이미지/아우터/트렌치 코트/리지 드로우 스트링 트렌치코트_네이비1.jpg', './상품이미지/아우터/트렌치 코트/리지 드로우 스트링 트렌치코트_네이비2.jpg']",2
7,6201 오버사이즈 트렌치 코트 _ 블랙,"198,000원","['./상품이미지/아우터/트렌치 코트/6201 오버사이즈 트렌치 코트 _ 블랙1.jpg', './상품이미지/아우터/트렌치 코트/6201 오버사이즈 트렌치 코트 _ 블랙2.jpg', './상품이미지/아우터/트렌치 코트/6201 오버사이즈 트렌치 코트 _ 블랙3.jpg']",3
8,Mac half trench coat,"162,000원","['./상품이미지/아우터/트렌치 코트/Mac half trench coat1.jpg', './상품이미지/아우터/트렌치 코트/Mac half trench coat2.jpg', './상품이미지/아우터/트렌치 코트/Mac half trench coat3.jpg']",3
9,롤업소매 슬릿 루즈핏 롱 자켓 MJ05JK205HJJ,"239,000원","['./상품이미지/아우터/트렌치 코트/롤업소매 슬릿 루즈핏 롱 자켓 MJ05JK205HJJ1.gif', './상품이미지/아우터/트렌치 코트/롤업소매 슬릿 루즈핏 롱 자켓 MJ05JK205HJJ2.jpg', './상품이미지/아우터/트렌치 코트/롤업소매 슬릿 루즈핏 롱 자켓 MJ05JK205HJJ3.jpg']",3
10,Cotton blended mac trench coat in Beige,"216,600원",['./상품이미지/아우터/트렌치 코트/Cotton blended mac trench coat in Beige1.jpg'],1
11,Romantic trench coat in Cream,"248,900원",['./상품이미지/아우터/트렌치 코트/Romantic trench coat in Cream1.jpg'],1
12,Romantic trench coat in Beige,"248,900원",['./상품이미지/아우터/트렌치 코트/Romantic trench coat in Beige1.jpg'],1
13,Cotton blended mac trench coat in Blue,"216,600원",['./상품이미지/아우터/트렌치 코트/Cotton blended mac trench coat in Blue1.jpg'],1
14,Belted stand collar trench coat in Ivory,"181,450원",['./상품이미지/아우터/트렌치 코트/Belted stand collar trench coat in Ivory1.jpg'],1
15,Belted stand collar trench coat in Beige,"181,450원",['./상품이미지/아우터/트렌치 코트/Belted stand collar trench coat in Beige1.jpg'],1
16,오버사이즈 더블 트렌치 코트_그레이,"89,550원","['./상품이미지/아우터/트렌치 코트/오버사이즈 더블 트렌치 코트_그레이1.jpg', './상품이미지/아우터/트렌치 코트/오버사이즈 더블 트렌치 코트_그레이2.jpg', './상품이미지/아우터/트렌치 코트/오버사이즈 더블 트렌치 코트_그레이3.jpg']",3
17,블랙 화섬 트렌치 코트,"129,900원","['./상품이미지/아우터/트렌치 코트/블랙 화섬 트렌치 코트1.jpg', './상품이미지/아우터/트렌치 코트/블랙 화섬 트렌치 코트2.jpg', './상품이미지/아우터/트렌치 코트/블랙 화섬 트렌치 코트3.jpg']",3
18,누메르 코튼 트렌치 코트 아이보리레이스,"260,100원","['./상품이미지/아우터/트렌치 코트/누메르 코튼 트렌치 코트 아이보리레이스1.jpg', './상품이미지/아우터/트렌치 코트/누메르 코튼 트렌치 코트 아이보리레이스2.jpg', './상품이미지/아우터/트렌치 코트/누메르 코튼 트렌치 코트 아이보리레이스3.jpg']",3
